"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"43",0.630451213060237,0.837403331350387,0.831161413158451,0.481408031730293,0.755364262413918,0.957929803688281,0.33311709975164,43,2,692.1,346.05,0
"44",0.612576524828055,0.721356335514575,0.817262534376983,0.430589985126425,0.718702428416093,0.874182034503272,0.284872298624754,44,1,235.07,235.07,0
"45",0.476834706371401,0.687328970850684,0.711487201184684,0.677987109568666,0.664298658934397,0.84,0.774548689624495,45,1,49.42,49.42,0
"46",0.343587030458771,0.819988102320048,0.886735773217685,0.813088745661874,0.786190648785792,0.754515169541939,0.314378915372354,46,1,371.47,371.47,0
"47",0.292494898344796,0.864098750743605,0.853522318595303,0.682077342588002,0.763066328379848,0.725770374776919,0.610334729584461,47,1,30.42,30.42,0
"48",0.479631169223793,0.777513384889947,0.856230167125026,0.53049082796232,0.705436752446539,0.911124330755503,0.256329465841272,48,1,123.92,123.92,0
"49",0.0873327790794347,0.873780487804878,0.897694097736408,0.943418443232524,0.826766944545125,0.659000594883998,0.197612781258109,49,2,366.26,183.13,0
"50",0.079736981331721,0.815734681737061,0.801480854664692,0.936601388200297,0.733091699891265,0.629934562760262,0.19770545279312,50,2,1039.77,519.885,0
"51",0.461668304235004,0.82528256989887,0.820012693039983,0.55313171376632,0.728271112722001,0.777073170731707,0.364569818734478,51,3,359.58,119.86,0
"52",0.596326808253344,0.754550862581797,0.814173894647768,0.376549330689142,0.686589343965205,0.78686496133254,0.418171034585017,52,1,123.92,123.92,0
"53",0.558839090015872,0.644021415823914,0.586460757351386,0.619112543381259,0.576332004349402,0.845722784057109,0.341105386069615,53,1,200.21,200.21,0
"54",0.421812410248659,0.828435455086258,0.759382272054157,0.701908775409023,0.7971728887278,0.797787031528852,0.351484597990881,54,1,219.23,219.23,0
"55",0.327564054115335,0.868500892325997,0.755701290459065,0.935176003966287,0.814606741573034,0.736716240333135,0.291655854987582,55,1,83.43,83.43,0
"56",0.1062655883909,0.838563355145747,0.877173683097102,0.828086266732772,0.757194635737586,0.618607971445568,0.206045890944138,56,2,506.9,253.45,0
"57",0.4223414707883,0.709131469363474,0.831859530357521,0.593579573624194,0.676513229430953,0.708637715645449,0.383104125736739,57,1,109.71,109.71,0
"58",0.357115864258182,0.811064842355741,0.717791411042945,0.840852751611304,0.780935121420805,0.748185603807258,0.418171034585017,58,1,78.96,78.96,0
"59",0.359836747033482,0.80755502676978,0.834694309287074,0.464427367377293,0.731170714026821,0.716192742415229,0.443711309634133,59,1,271.83,271.83,0
"60",0.386138613861386,0.893783462224866,0.854580071927227,0.799578582052553,0.878216745197535,0.813670434265318,0.375949883233866,60,1,128.43,128.43,0
"61",0.245030609931222,0.826903628792386,0.835688597419082,0.659209221616262,0.759568684305908,0.835907198096371,0.178726322422805,61,2,1055.65,527.825,0
"62",0.191973395812864,0.673854848304581,0.565348000846203,0.584035696579078,0.615766582094962,0.780035693039857,0.133743559328317,62,1,325.46,325.46,0
"63",0.634721487415917,0.830190362879239,0.933615400888513,0.558130887456619,0.820623414280536,0.805556216537775,0.147829632650035,63,1,35.66,35.66,0
"64",0.234978459678029,0.986525877453897,0.95988999365348,0.71145265245414,0.953823849220732,0.897549077929804,0.186418059828743,64,1,149.02,149.02,0
"65",0.342680069533671,0.573289708506841,0.466680770044426,0.633366385721368,0.496592968466836,0.792361689470553,0.420135671127257,65,1,115.58,115.58,0
