data,regiao,num,precipitac,ttmax,ttmin,sol,ttmed,ttumid,mes,dia,semana,ena,pld,range
"04/2018","SE",2120,3.407,25.843,17.748,4.463,18.422,66.169,"","","",92.130,109.710,"Range-07"
"05/2018","SE",2226,0.829,25.142,15.374,5.428,16.785,59.486,"","","",36.080,325.460,"Range-24"
"06/2018","SE",2094,0.272,25.216,14.813,5.148,16.869,58.772,"","","",48.460,472.870,"Range-36"
"07/2018","SE",2009,0.109,25.600,13.246,6.004,16.863,52.307,"","","",59.230,505.180,"Range-38"
"08/2018","SE",2099,1.020,25.853,15.738,4.997,17.733,51.488,"","","",47.370,505.180,"Range-38"
"09/2018","SE",1980,1.410,28.229,17.339,4.944,19.779,50.069,"","","",98.770,472.750,"Range-36"
"10/2018","SE",2053,4.761,27.150,19.728,3.747,20.173,60.196,"","","",119.700,271.830,"Range-20"
"11/2018","SE",1964,7.890,25.368,19.243,3.038,18.943,66.136,"","","",112.810,123.920,"Range-08"
"12/2018","SE",1800,6.677,25.977,19.531,4.164,20.212,61.164,"","","",78.680,78.960,"Range-04"
"01/2016","S",889,4.917,27.531,19.584,6.294,22.319,72.078,"","","",196.350,35.660,"Range-01"
"02/2016","S",800,7.349,26.113,19.978,5.632,21.244,72.257,"","","",164.650,30.420,"Range-01"
"03/2016","S",870,6.309,23.108,16.816,5.470,18.328,70.602,"","","",208.950,37.730,"Range-01"
"04/2016","S",775,6.198,23.361,17.425,4.822,18.382,71.015,"","","",145.800,49.420,"Range-02"
"05/2016","S",875,3.969,17.287,11.394,3.412,12.968,74.999,"","","",126.420,75.930,"Range-04"
"06/2016","S",850,1.818,15.394,7.664,4.592,10.170,71.126,"","","",93.780,61.320,"Range-03"
"07/2016","S",875,3.859,17.841,9.492,5.166,12.268,69.379,"","","",95.980,83.430,"Range-05"
"08/2016","S",863,4.534,19.274,11.030,5.110,13.701,66.598,"","","",113.340,115.580,"Range-07"
"09/2016","S",849,2.249,20.116,10.941,6.276,14.135,65.566,"","","",75.060,149.020,"Range-10"
"10/2016","S",848,7.394,21.652,13.861,4.995,15.901,71.083,"","","",92.020,200.210,"Range-14"
"11/2016","S",829,3.467,25.677,15.210,7.005,19.324,63.687,"","","",70.950,166.050,"Range-11"
"12/2016","S",857,5.305,27.514,18.256,5.804,21.968,65.583,"","","",98.810,122.190,"Range-08"
"01/2017","S",822,6.624,29.116,19.541,6.313,23.437,68.489,"","","",153.830,121.440,"Range-08"
"02/2017","S",738,5.109,30.049,20.198,6.451,24.230,68.389,"","","",101.420,128.430,"Range-08"
"03/2017","S",812,5.133,27.542,17.824,5.960,21.782,68.781,"","","",84.530,216.240,"Range-15"
"04/2017","S",776,4.986,24.307,15.049,5.020,18.832,69.478,"","","",82.970,371.470,"Range-28"
"05/2017","S",747,8.082,21.938,14.386,3.455,17.421,74.755,"","","",167.000,411.490,"Range-31"
"06/2017","S",723,5.036,20.729,11.444,4.811,15.106,73.266,"","","",269.770,124.700,"Range-08"
"07/2017","S",747,0.623,21.584,10.214,6.576,14.748,66.811,"","","",38.550,280.810,"Range-20"
"08/2017","S",717,4.444,21.975,11.815,5.860,15.676,66.970,"","","",51.280,505.950,"Range-38"
"09/2017","S",708,3.662,25.856,15.531,5.162,19.794,66.764,"","","",22.960,521.830,"Range-40"
"10/2017","S",672,7.537,24.148,14.614,5.020,18.690,68.373,"","","",81.270,533.820,"Range-40"
"11/2017","S",687,4.394,25.713,14.615,7.376,19.571,59.198,"","","",127.770,425.170,"Range-32"
"12/2017","S",668,4.248,28.337,18.273,6.526,22.042,62.469,"","","",86.910,235.070,"Range-17"
"01/2018","S",661,7.544,28.486,19.166,5.774,23.058,67.519,"","","",188.250,180.070,"Range-12"
"02/2018","S",612,3.030,27.847,17.455,7.189,21.937,63.421,"","","",87.000,188.790,"Range-13"
"03/2018","S",675,5.581,27.852,17.948,5.663,21.994,67.054,"","","",94.820,219.230,"Range-16"
"04/2018","S",641,2.392,26.967,17.339,6.255,20.966,65.057,"","","",92.130,109.710,"Range-07"
"05/2018","S",679,2.540,22.655,13.362,4.712,16.989,65.562,"","","",36.080,325.460,"Range-24"
"06/2018","S",598,3.947,18.757,9.708,3.796,13.420,73.653,"","","",48.460,472.870,"Range-36"
"07/2018","S",637,3.893,19.749,10.503,4.198,14.211,69.847,"","","",59.230,505.180,"Range-38"
"08/2018","S",655,3.489,19.560,9.524,4.856,13.746,66.037,"","","",47.370,505.180,"Range-38"
"09/2018","S",634,5.728,23.479,14.267,4.837,18.102,67.521,"","","",98.770,472.750,"Range-36"
"10/2018","S",644,6.128,24.222,15.083,5.268,18.989,66.634,"","","",119.700,271.830,"Range-20"
"11/2018","S",614,4.725,27.268,16.965,6.784,21.546,62.885,"","","",112.810,123.920,"Range-08"
"12/2018","S",623,4.334,29.199,17.861,7.545,22.475,61.921,"","","",78.680,78.960,"Range-04"
"07/2016","N",961,3.872,32.982,22.440,5.292,26.137,76.976,"","","",42.060,83.430,"Range-05"
